Fantasy Team,Gender Match,Last Name,First Name,Fantasy Points,Goals,Assists,Throwing Yards,Receiving Yards,Blocks,Turns
Combo-Owner-Draft,GM,Last,First,SUM of FantasyPts,SUM of Goals,SUM of Assists,SUM of ThrowYds,SUM of RecYds,SUM of Block,SUM of Turn
,M,Greenwald,Hartley,6.6,1,2,124,90,1,2
,M,Ing,Michael,30.8,5,3,256,202,5,3
,M,Roblet,Sullivan,3.0,2,2,87,70,1,3
Daniel EESTI-6-8,F,Beaudry,Anouchka,6.9,3,2,51,172,0,1
,F,Cárdenas,Manuela,8.4,1,2,222,87,0,1
,F,Finney,Carolyn,21.5,2,3,253,241,1,0
,F,Li,Xue,-4.9,1,0,86,27,0,3
,M,Bray,James,0.9,0,0,18,20,0,0
,M,Cortes Amariles,Juan Manuel,1.8,0,0,15,67,0,0
,M,Lindsley,Grant,20.7,2,6,283,206,0,0
,M,Matsuno,Masahiro,1.2,0,2,311,89,0,4
Devynn POD-5-8,F,Beaudry,Anouchka,6.9,3,2,51,172,0,1
,F,Cárdenas,Manuela,8.4,1,2,222,87,0,1
,F,Thompson,Anna,23.9,2,5,225,254,2,1
,F,Wiya,Kya,6.2,4,2,41,250,0,2
,M,Gallant,Marty,13.0,3,1,154,217,0,0
,M,Ing,Michael,30.8,5,3,256,202,5,3
,M,Ladomatos,Alex,4.3,0,2,204,103,0,2
,M,Müller,Nico,24.2,1,7,565,106,0,1
Durbs EUCOMM-8-8,F,Culton,Dawn,9.2,3,1,73,151,0,0
,F,Dos Santos,Brittney,9.3,2,4,282,192,0,3
,F,Schütz,Lisa,10.3,0,2,150,88,2,2
,F,Wedge,Molly,2.6,1,0,3,24,1,1
,M,Brownlee,Marques,8.8,3,2,359,43,1,4
,M,Bulla,Jorge,11.3,0,5,222,81,1,2
,M,Dieckmann,Jakob,11.0,6,2,156,367,0,3
,M,Herkens,Paul,33.6,3,2,144,159,6,1
Edward STURF-4-10,F,Cárdenas,Manuela,8.4,1,2,222,87,0,1
,F,Phillips,Cat,21.9,1,4,240,379,2,2
,F,Santos,Maria Paula,6.8,2,1,56,107,0,0
,F,Schall,Charlotte,15.2,2,2,229,165,1,1
,F,Thompson,Anna,23.9,2,5,225,254,2,1
,M,Andrews,Rob,24.8,3,4,266,337,3,3
,M,Auger-Semmar,Malik,17.4,4,3,174,257,0,0
,M,Lindsley,Grant,20.7,2,6,283,206,0,0
,M,Okajima,Sho,3.9,3,4,162,198,0,4
,M,Schloer,Conrad,43.0,4,11,332,447,3,1
Ethan CROCS-8-8,F,Blanc,Camille,6.4,0,0,14,52,2,1
,F,Pidgeon,Angela,10.4,3,1,19,91,1,0
,F,Wedge,Molly,2.6,1,0,3,24,1,1
,M,Brownlee,Marques,8.8,3,2,359,43,1,4
,M,Bulla,Jorge,11.3,0,5,222,81,1,2
,M,Ing,Henry,15.0,4,3,110,386,0,1
,M,Lindsley,Grant,20.7,2,6,283,206,0,0
,M,Lloyd,Mark,7.1,2,0,57,119,1,1
Francis EUCOMM-8-8,F,Bornot,Lison,9.0,3,1,45,278,1,2
,F,Carr,Olivia,1.2,3,0,0,58,0,1
,F,Kimura,Lauren,16.5,0,2,188,41,2,0
,F,Trop,Claire,14.2,7,0,38,252,1,1
,M,Ing,Henry,15.0,4,3,110,386,0,1
,M,Lloyd,Mark,7.1,2,0,57,119,1,1
,M,Matsuno,Masahiro,1.2,0,2,311,89,0,4
,M,Roblet,Sullivan,3.0,2,2,87,70,1,3
Gert EESTI-6-8,F,Bornot,Lison,9.0,3,1,45,278,1,2
,F,Dos Santos,Brittney,9.3,2,4,282,192,0,3
,F,Phillips,Cat,21.9,1,4,240,379,2,2
,F,Trop,Claire,14.2,7,0,38,252,1,1
,M,Benvegnen,Paul,32.6,2,8,569,172,2,2
,M,Ing,Michael,30.8,5,3,256,202,5,3
,M,Müller,Nico,24.2,1,7,565,106,0,1
,M,Ramirez,Andrés,15.7,5,2,52,154,1,0
Guy GUY-4-10,F,Dos Santos,Brittney,9.3,2,4,282,192,0,3
,F,Groom,Kami,9.9,3,2,22,210,0,0
,F,Santos,Maria Paula,6.8,2,1,56,107,0,0
,F,Walczak,Levke,6.4,10,1,86,489,1,7
,F,Wiya,Kya,6.2,4,2,41,250,0,2
,M,Arakawa,Taiyo,19.2,9,0,-37,367,1,0
,M,Bonnet,Elliot,18.4,5,2,151,439,1,2
,M,Gan,Alex,-8.9,1,0,293,111,0,7
,M,Roblet,Sullivan,3.0,2,2,87,70,1,3
,M,Schloer,Conrad,43.0,4,11,332,447,3,1
Hannah EUCOMM-8-8,F,Cárdenas,Valeria,5.7,3,0,213,258,0,3
,F,Jacobsohn,Sarah,-3.1,0,3,86,163,0,4
,F,Schall,Charlotte,15.2,2,2,229,165,1,1
,F,Vallet,Chloé,0.8,0,2,77,125,0,2
,M,Ancelin,Gaël,-7.4,1,0,232,-21,0,5
,M,Andrews,Rob,24.8,3,4,266,337,3,3
,M,Freechild,Dylan,19.3,1,5,475,-3,2,3
,M,Lindsley,Grant,20.7,2,6,283,206,0,0
Helen EESTI-6-8,F,Cárdenas,Valeria,5.7,3,0,213,258,0,3
,F,Meehan,Lyra,1.7,0,1,15,9,0,0
,F,Schall,Charlotte,15.2,2,2,229,165,1,1
,F,Zhang,Ying,0.8,0,0,68,-65,0,0
,M,Andrews,Rob,24.8,3,4,266,337,3,3
,M,Arakawa,Taiyo,19.2,9,0,-37,367,1,0
,M,Bonnet,Elliot,18.4,5,2,151,439,1,2
,M,Stanguennec,Léo,21.8,0,5,248,215,2,1
