Owner,Team,First,Last,GM,Goals,Assists,ThrowYds,RecYds,Block,Turn,FantasyPts,Name+Team
,AUS,Rob,Andrews,M,3,4,266,337,3,3,24.8,AUSRobAndrews
,AUS,James,Bray,M,0,0,18,20,0,0,0.9,AUSJamesBray
,AUS,Olivia,Carr,F,3,0,0,58,0,1,1.2,AUSOliviaCarr
,AUS,Bill,Foreman,M,2,1,190,113,1,1,12.1,AUSBillForeman
,AUS,Alex,Gan,M,1,0,293,111,0,7,-8.9,AUSAlexGan
,AUS,Jonathan,Keys,M,2,7,387,196,0,4,12.6,AUSJonathanKeys
,AUS,Alex,Ladomatos,M,0,2,204,103,0,2,4.3,AUSAlexLadomatos
,AUS,Sam,McGuckin,M,4,3,110,301,0,2,10.3,AUSSamMcGuckin
,AUS,Lyra,Meehan,F,0,1,15,9,0,0,1.7,AUSLyraMeehan
,AUS,Cat,Phillips,F,1,4,240,379,2,2,21.9,AUSCatPhillips
,AUS,Angela,Pidgeon,F,3,1,19,91,1,0,10.4,AUSAngelaPidgeon
,AUS,Alexandra,Prentice,F,1,0,324,137,0,3,4.5,AUSAlexandraPrentice
,AUS,Kya,Wiya,F,4,2,41,250,0,2,6.2,AUSKyaWiya
,AUS,Georgia,Egan-Griffiths,F,1,0,32,36,0,0,2.7,AUSGeorgiaEgan-Griffiths
,CAN,Malik,Auger-Semmar,M,4,3,174,257,0,0,17.4,CANMalikAuger-Semmar
,CAN,Anouchka,Beaudry,F,3,2,51,172,0,1,6.9,CANAnouchkaBeaudry
,CAN,Malcolm,Bryson,M,0,2,95,98,2,1,11.9,CANMalcolmBryson
,CAN,Florence,Dionne,F,1,0,0,33,1,0,5.7,CANFlorenceDionne
,CAN,Brittney,Dos Santos,F,2,4,282,192,0,3,9.3,CANBrittneyDos Santos
,CAN,Thomas,Edmonds,M,4,3,451,238,1,1,26.5,CANThomasEdmonds
,CAN,Marty,Gallant,M,3,1,154,217,0,0,13.0,CANMartyGallant
,CAN,Sarah,Jacobsohn,F,0,3,86,163,0,4,-3.1,CANSarahJacobsohn
,CAN,Lauren,Kimura,F,0,2,188,41,2,0,16.5,CANLaurenKimura
,CAN,Mika,Kurahashi,F,0,1,95,99,1,1,6.9,CANMikaKurahashi
,CAN,Mark,Lloyd,M,2,0,57,119,1,1,7.1,CANMarkLloyd
,CAN,Gagan,Chatha,M,1,3,305,10,2,2,15.4,CANGaganChatha
,CAN,Quinn,Snider,M,5,1,52,331,2,2,16.2,CANQuinnSnider
,CAN,Molly,Wedge,F,1,0,3,24,1,1,2.6,CANMollyWedge
,CHN,Xiaoyun,Gao,F,2,0,31,227,0,4,-4.6,CHNXiaoyunGao
