Owner,Team,First,Last,GM,Goals,Assists,ThrowYds,RecYds,Block,Turn,FantasyPts,Draft,Combo-Owner-Draft,TeamName
Liam,COL,Maria Paula,Santos,F,2,1,56,107,0,0,6.8,AK-5-10,Liam AK-5-10,COLMaria PaulaSantos
Josh,FRA,Gaël,Ancelin,M,1,0,232,-21,0,5,-7.4,AK-5-10,Josh AK-5-10,FRAGaëlAncelin
Keegs,FRA,Paul,Benvegnen,M,2,8,569,172,2,2,32.6,AK-5-10,Keegs AK-5-10,FRAPaulBenvegnen
,FRA,Camille,Blanc,F,0,0,14,52,2,1,6.4,AK-5-10,,FRACamilleBlanc
Zach,FRA,Elliot,Bonnet,M,5,2,151,439,1,2,18.4,AK-5-10,Zach AK-5-10,FRAElliotBonnet
,FRA,Simone,Raulet,F,2,0,38,116,0,2,-0.5,AK-5-10,,FRASimoneRaulet
,FRA,Lison,Bornot,F,3,1,45,278,1,2,9.0,AK-5-10,,FRALisonBornot
,FRA,Zoë,Forget,F,2,0,45,111,0,0,5.6,AK-5-10,,FRAZoëForget
,FRA,Tifaine,Latchy,F,0,2,105,54,1,0,10.3,AK-5-10,,FRATifaineLatchy
,FRA,Chloé,Ollivier,F,2,0,-18,101,0,0,3.5,AK-5-10,,FRAChloéOllivier
Liam,FRA,Sacha,Poitte-Sokolsky,M,4,0,254,77,0,3,4.2,AK-5-10,Liam AK-5-10,FRASachaPoitte-Sokolsky
,FRA,Sullivan,Roblet,M,2,2,87,70,1,3,3.0,AK-5-10,,FRASullivanRoblet
,FRA,Simon,Ruelle,M,1,2,68,118,0,2,1.5,AK-5-10,,FRASimonRuelle
Josh,FRA,Léo,Stanguennec,M,0,5,248,215,2,1,21.8,AK-5-10,Josh AK-5-10,FRALéoStanguennec
Zach,FRA,Chloé,Vallet,F,0,2,77,125,0,2,0.8,AK-5-10,Zach AK-5-10,FRAChloéVallet
Zach,GER,Jakob,Dieckmann,M,6,2,156,367,0,3,11.0,AK-5-10,Zach AK-5-10,GERJakobDieckmann
,GER,Joana,Erdmann,F,1,0,-27,130,1,2,0.8,AK-5-10,,GERJoanaErdmann
Zach,GER,Hartley,Greenwald,M,1,2,124,90,1,2,6.6,AK-5-10,Zach AK-5-10,GERHartleyGreenwald
,GER,Paul,Herkens,M,3,2,144,159,6,1,33.6,AK-5-10,,GERPaulHerkens
,GER,David,Metzger,M,4,4,387,104,2,3,20.8,AK-5-10,,GERDavidMetzger
AK,GER,Ava,Mueller,F,3,1,169,25,1,1,10.6,AK-5-10,AK AK-5-10,GERAvaMueller
Liam,GER,Nico,Müller,M,1,7,565,106,0,1,24.2,AK-5-10,Liam AK-5-10,GERNicoMüller
Keegs,GER,Nici,Prien,F,2,2,27,239,1,2,7.6,AK-5-10,Keegs AK-5-10,GERNiciPrien
,GER,Charlotte,Schall,F,2,2,229,165,1,1,15.2,AK-5-10,,GERCharlotteSchall
Liam,GER,Conrad,Schloer,M,4,11,332,447,3,1,43.0,AK-5-10,Liam AK-5-10,GERConradSchloer
,GER,Lisa,Schütz,F,0,2,150,88,2,2,10.3,AK-5-10,,GERLisaSchütz
,GER,Nis-Julius,Sontag,M,1,2,164,42,0,1,5.8,AK-5-10,,GERNis-JuliusSontag
Josh,GER,Levke,Walczak,F,10,1,86,489,1,7,6.4,AK-5-10,Josh AK-5-10,GERLevkeWalczak
,GER,Verena,Woloson,F,0,0,-11,69,0,1,-1.9,AK-5-10,,GERVerenaWoloson
Liam,JPN,Taiyo,Arakawa,M,9,0,-37,367,1,0,19.2,AK-5-10,Liam AK-5-10,JPNTaiyoArakawa
Zach,JPN,Kanari,Imanishi,F,1,0,110,110,1,1,7.5,AK-5-10,Zach AK-5-10,JPNKanariImanishi
Keegs,JPN,Yuko,Kashino,F,2,6,239,213,0,0,19.5,AK-5-10,Keegs AK-5-10,JPNYukoKashino
,JPN,Masashi,Kurono,M,5,5,201,592,1,4,19.9,AK-5-10,,JPNMasashiKurono
,JPN,Shumpei,Makiyama,M,4,4,216,225,2,2,21.0,AK-5-10,,JPNShumpeiMakiyama
,JPN,Masahiro,Matsuno,M,0,2,311,89,0,4,1.2,AK-5-10,,JPNMasahiroMatsuno
,JPN,Hikari,Miyachi,F,0,0,0,0,0,0,0.0,AK-5-10,,JPNHikariMiyachi
