Owner,Team,First,Last,GM,Goals,Assists,ThrowYds,RecYds,Block,Turn,FantasyPts,Draft,Combo-Owner-Draft,TeamName
Sean,AUS,Sam,McGuckin,M,4,3,110,301,0,2,10.3,EUCOMM-8-8,Sean EUCOMM-8-8,AUSSamMcGuckin
,AUS,Lyra,Meehan,F,0,1,15,9,0,0,1.7,EUCOMM-8-8,,AUSLyraMeehan
Stef,AUS,Cat,Phillips,F,1,4,240,379,2,2,21.9,EUCOMM-8-8,Stef EUCOMM-8-8,AUSCatPhillips
,AUS,Angela,Pidgeon,F,3,1,19,91,1,0,10.4,EUCOMM-8-8,,AUSAngelaPidgeon
,AUS,Alexandra,Prentice,F,1,0,324,137,0,3,4.5,EUCOMM-8-8,,AUSAlexandraPrentice
Liam,AUS,Kya,Wiya,F,4,2,41,250,0,2,6.2,EUCOMM-8-8,Liam EUCOMM-8-8,AUSKyaWiya
,AUS,Georgia,Egan-Griffiths,F,1,0,32,36,0,0,2.7,EUCOMM-8-8,,AUSGeorgiaEgan-Griffiths
Benj,CAN,Malik,Auger-Semmar,M,4,3,174,257,0,0,17.4,EUCOMM-8-8,Benj EUCOMM-8-8,CANMalikAuger-Semmar
Benj,CAN,Anouchka,Beaudry,F,3,2,51,172,0,1,6.9,EUCOMM-8-8,Benj EUCOMM-8-8,CANAnouchkaBeaudry
,CAN,Malcolm,Bryson,M,0,2,95,98,2,1,11.9,EUCOMM-8-8,,CANMalcolmBryson
,CAN,Florence,Dionne,F,1,0,0,33,1,0,5.7,EUCOMM-8-8,,CANFlorenceDionne
Durbs,CAN,Brittney,Dos Santos,F,2,4,282,192,0,3,9.3,EUCOMM-8-8,Durbs EUCOMM-8-8,CANBrittneyDos Santos
Sean,CAN,Thomas,Edmonds,M,4,3,451,238,1,1,26.5,EUCOMM-8-8,Sean EUCOMM-8-8,CANThomasEdmonds
,CAN,Marty,Gallant,M,3,1,154,217,0,0,13.0,EUCOMM-8-8,,CANMartyGallant
Hannah,CAN,Sarah,Jacobsohn,F,0,3,86,163,0,4,-3.1,EUCOMM-8-8,Hannah EUCOMM-8-8,CANSarahJacobsohn
Francis,CAN,Lauren,Kimura,F,0,2,188,41,2,0,16.5,EUCOMM-8-8,Francis EUCOMM-8-8,CANLaurenKimura
Sean,CAN,Mika,Kurahashi,F,0,1,95,99,1,1,6.9,EUCOMM-8-8,Sean EUCOMM-8-8,CANMikaKurahashi
Francis,CAN,Mark,Lloyd,M,2,0,57,119,1,1,7.1,EUCOMM-8-8,Francis EUCOMM-8-8,CANMarkLloyd
,CAN,Gagan,Chatha,M,1,3,305,10,2,2,15.4,EUCOMM-8-8,,CANGaganChatha
Stef,CAN,Quinn,Snider,M,5,1,52,331,2,2,16.2,EUCOMM-8-8,Stef EUCOMM-8-8,CANQuinnSnider
Durbs,CAN,Molly,Wedge,F,1,0,3,24,1,1,2.6,EUCOMM-8-8,Durbs EUCOMM-8-8,CANMollyWedge
,CHN,Xiaoyun,Gao,F,2,0,31,227,0,4,-4.6,EUCOMM-8-8,,CHNXiaoyunGao
,CHN,Jiarong,Guo,M,4,2,132,375,3,1,26.5,EUCOMM-8-8,,CHNJiarongGuo
,CHN,Xin,Li,M,3,2,314,193,0,3,9.4,EUCOMM-8-8,,CHNXinLi
,CHN,Xue,Li,F,1,0,86,27,0,3,-4.9,EUCOMM-8-8,,CHNXueLi
,CHN,Bo,Liu,M,3,1,287,119,0,4,3.1,EUCOMM-8-8,,CHNBoLiu
,CHN,Quan,Mao,M,0,6,498,69,2,7,9.5,EUCOMM-8-8,,CHNQuanMao
,CHN,Xuanxuan,Wang,F,1,1,13,100,1,3,-0.6,EUCOMM-8-8,,CHNXuanxuanWang
,CHN,Simei,Wei,F,0,3,175,144,0,4,-0.8,EUCOMM-8-8,,CHNSimeiWei
,CHN,Yingyi,Xu,M,4,2,24,301,0,3,3.7,EUCOMM-8-8,,CHNYingyiXu
,CHN,Yu,Zeng,M,1,3,268,115,1,1,15.4,EUCOMM-8-8,,CHNYuZeng
,CHN,Lu,Zhang,F,0,1,2,157,0,1,1.2,EUCOMM-8-8,,CHNLuZhang
,CHN,Ying,Zhang,F,0,0,68,-65,0,0,0.8,EUCOMM-8-8,,CHNYingZhang
,CHN,Anqi,Zhou,F,2,0,-30,118,0,1,0.5,EUCOMM-8-8,,CHNAnqiZhou
,CHN,Zhaoje,Zhou,M,1,1,71,62,0,1,2.4,EUCOMM-8-8,,CHNZhaojeZhou
,COL,Ivan,Alba,M,1,3,185,117,1,2,9.9,EUCOMM-8-8,,COLIvanAlba
Durbs,COL,Jorge,Bulla,M,0,5,222,81,1,2,11.3,EUCOMM-8-8,Durbs EUCOMM-8-8,COLJorgeBulla
,COL,Manuel,Candamil,M,2,1,90,65,0,0,7.0,EUCOMM-8-8,,COLManuelCandamil
Sean,COL,Jonathan,Cantor,M,0,1,26,-29,0,0,1.2,EUCOMM-8-8,Sean EUCOMM-8-8,COLJonathanCantor
Liam,COL,Manuela,Cárdenas,F,1,2,222,87,0,1,8.4,EUCOMM-8-8,Liam EUCOMM-8-8,COLManuelaCárdenas
Hannah,COL,Valeria,Cárdenas,F,3,0,213,258,0,3,5.7,EUCOMM-8-8,Hannah EUCOMM-8-8,COLValeriaCárdenas
Stef,COL,Yina,Cartagena,F,1,3,218,219,0,1,12.0,EUCOMM-8-8,Stef EUCOMM-8-8,COLYinaCartagena
,COL,Juan Manuel,Cortes Amariles,M,0,0,15,67,0,0,1.8,EUCOMM-8-8,,COLJuan ManuelCortes Amariles
,COL,Maria,Forero,F,1,1,15,62,0,0,3.7,EUCOMM-8-8,,COLMariaForero
Smurph,COL,Ximena,Montaña,F,3,0,-1,106,1,0,9.1,EUCOMM-8-8,Smurph EUCOMM-8-8,COLXimenaMontaña
Benj,COL,Laura,Ospina,F,1,1,92,113,0,0,7.1,EUCOMM-8-8,Benj EUCOMM-8-8,COLLauraOspina
,COL,Andrés,Ramirez,M,5,2,52,154,1,0,15.7,EUCOMM-8-8,,COLAndrésRamirez
,COL,Simón,Ramírez,M,0,0,19,17,0,1,-2.1,EUCOMM-8-8,,COLSimónRamírez
Liam,COL,Maria Paula,Santos,F,2,1,56,107,0,0,6.8,EUCOMM-8-8,Liam EUCOMM-8-8,COLMaria PaulaSantos
Hannah,FRA,Gaël,Ancelin,M,1,0,232,-21,0,5,-7.4,EUCOMM-8-8,Hannah EUCOMM-8-8,FRAGaëlAncelin
Liam,FRA,Paul,Benvegnen,M,2,8,569,172,2,2,32.6,EUCOMM-8-8,Liam EUCOMM-8-8,FRAPaulBenvegnen
Smurph,FRA,Camille,Blanc,F,0,0,14,52,2,1,6.4,EUCOMM-8-8,Smurph EUCOMM-8-8,FRACamilleBlanc
Liam,FRA,Elliot,Bonnet,M,5,2,151,439,1,2,18.4,EUCOMM-8-8,Liam EUCOMM-8-8,FRAElliotBonnet
,FRA,Simone,Raulet,F,2,0,38,116,0,2,-0.5,EUCOMM-8-8,,FRASimoneRaulet
Francis,FRA,Lison,Bornot,F,3,1,45,278,1,2,9.0,EUCOMM-8-8,Francis EUCOMM-8-8,FRALisonBornot
,FRA,Zoë,Forget,F,2,0,45,111,0,0,5.6,EUCOMM-8-8,,FRAZoëForget
,FRA,Tifaine,Latchy,F,0,2,105,54,1,0,10.3,EUCOMM-8-8,,FRATifaineLatchy
Liam,FRA,Chloé,Ollivier,F,2,0,-18,101,0,0,3.5,EUCOMM-8-8,Liam EUCOMM-8-8,FRAChloéOllivier
Stef,FRA,Sacha,Poitte-Sokolsky,M,4,0,254,77,0,3,4.2,EUCOMM-8-8,Stef EUCOMM-8-8,FRASachaPoitte-Sokolsky
Francis,FRA,Sullivan,Roblet,M,2,2,87,70,1,3,3.0,EUCOMM-8-8,Francis EUCOMM-8-8,FRASullivanRoblet
Benj,FRA,Simon,Ruelle,M,1,2,68,118,0,2,1.5,EUCOMM-8-8,Benj EUCOMM-8-8,FRASimonRuelle
Smurph,FRA,Léo,Stanguennec,M,0,5,248,215,2,1,21.8,EUCOMM-8-8,Smurph EUCOMM-8-8,FRALéoStanguennec
Hannah,FRA,Chloé,Vallet,F,0,2,77,125,0,2,0.8,EUCOMM-8-8,Hannah EUCOMM-8-8,FRAChloéVallet
Durbs,GER,Jakob,Dieckmann,M,6,2,156,367,0,3,11.0,EUCOMM-8-8,Durbs EUCOMM-8-8,GERJakobDieckmann
,GER,Joana,Erdmann,F,1,0,-27,130,1,2,0.8,EUCOMM-8-8,,GERJoanaErdmann
,GER,Hartley,Greenwald,M,1,2,124,90,1,2,6.6,EUCOMM-8-8,,GERHartleyGreenwald
Durbs,GER,Paul,Herkens,M,3,2,144,159,6,1,33.6,EUCOMM-8-8,Durbs EUCOMM-8-8,GERPaulHerkens
,GER,David,Metzger,M,4,4,387,104,2,3,20.8,EUCOMM-8-8,,GERDavidMetzger
Sean,GER,Ava,Mueller,F,3,1,169,25,1,1,10.6,EUCOMM-8-8,Sean EUCOMM-8-8,GERAvaMueller
Benj,GER,Nico,Müller,M,1,7,565,106,0,1,24.2,EUCOMM-8-8,Benj EUCOMM-8-8,GERNicoMüller
Sean,GER,Nici,Prien,F,2,2,27,239,1,2,7.6,EUCOMM-8-8,Sean EUCOMM-8-8,GERNiciPrien
Hannah,GER,Charlotte,Schall,F,2,2,229,165,1,1,15.2,EUCOMM-8-8,Hannah EUCOMM-8-8,GERCharlotteSchall
Smurph,GER,Conrad,Schloer,M,4,11,332,447,3,1,43.0,EUCOMM-8-8,Smurph EUCOMM-8-8,GERConradSchloer
Durbs,GER,Lisa,Schütz,F,0,2,150,88,2,2,10.3,EUCOMM-8-8,Durbs EUCOMM-8-8,GERLisaSchütz
,GER,Nis-Julius,Sontag,M,1,2,164,42,0,1,5.8,EUCOMM-8-8,,GERNis-JuliusSontag
Stef,GER,Levke,Walczak,F,10,1,86,489,1,7,6.4,EUCOMM-8-8,Stef EUCOMM-8-8,GERLevkeWalczak
,GER,Verena,Woloson,F,0,0,-11,69,0,1,-1.9,EUCOMM-8-8,,GERVerenaWoloson
Liam,JPN,Taiyo,Arakawa,M,9,0,-37,367,1,0,19.2,EUCOMM-8-8,Liam EUCOMM-8-8,JPNTaiyoArakawa
Smurph,JPN,Kanari,Imanishi,F,1,0,110,110,1,1,7.5,EUCOMM-8-8,Smurph EUCOMM-8-8,JPNKanariImanishi
Sean,JPN,Yuko,Kashino,F,2,6,239,213,0,0,19.5,EUCOMM-8-8,Sean EUCOMM-8-8,JPNYukoKashino
,JPN,Masashi,Kurono,M,5,5,201,592,1,4,19.9,EUCOMM-8-8,,JPNMasashiKurono
,JPN,Shumpei,Makiyama,M,4,4,216,225,2,2,21.0,EUCOMM-8-8,,JPNShumpeiMakiyama
Francis,JPN,Masahiro,Matsuno,M,0,2,311,89,0,4,1.2,EUCOMM-8-8,Francis EUCOMM-8-8,JPNMasahiroMatsuno
,JPN,Hikari,Miyachi,F,0,0,0,0,0,0,0.0,EUCOMM-8-8,,JPNHikariMiyachi
Smurph,JPN,Akifumi,Muraoka,M,1,1,167,48,1,0,12.1,EUCOMM-8-8,Smurph EUCOMM-8-8,JPNAkifumiMuraoka
Sean,JPN,Sho,Okajima,M,3,4,162,198,0,4,3.9,EUCOMM-8-8,Sean EUCOMM-8-8,JPNShoOkajima
,JPN,Riyu,Shimizu,F,0,3,418,118,0,3,9.1,EUCOMM-8-8,,JPNRiyuShimizu
,JPN,Ryota,Suzuki,M,1,2,515,-33,0,3,8.9,EUCOMM-8-8,,JPNRyotaSuzuki
,JPN,Miwa,Tajima,F,1,0,6,20,0,0,1.6,EUCOMM-8-8,,JPNMiwaTajima
,JPN,Mayuka,Takada,F,3,3,240,436,0,3,13.0,EUCOMM-8-8,,JPNMayukaTakada
,JPN,Sayako,Nemoto,F,0,0,-31,45,1,0,4.0,EUCOMM-8-8,,JPNSayakoNemoto
Durbs,USA,Marques,Brownlee,M,3,2,359,43,1,4,8.8,EUCOMM-8-8,Durbs EUCOMM-8-8,USAMarquesBrownlee
,USA,Claire,Chastain,F,0,1,89,90,1,3,0.5,EUCOMM-8-8,,USAClaireChastain
Durbs,USA,Dawn,Culton,F,3,1,73,151,0,0,9.2,EUCOMM-8-8,Durbs EUCOMM-8-8,USADawnCulton
Stef,USA,Carolyn,Finney,F,2,3,253,241,1,0,21.5,EUCOMM-8-8,Stef EUCOMM-8-8,USACarolynFinney
Hannah,USA,Dylan,Freechild,M,1,5,475,-3,2,3,19.3,EUCOMM-8-8,Hannah EUCOMM-8-8,USADylanFreechild
Benj,USA,Kami,Groom,F,3,2,22,210,0,0,9.9,EUCOMM-8-8,Benj EUCOMM-8-8,USAKamiGroom
Stef,USA,Raphy,Hayes,M,4,3,129,450,2,5,12.9,EUCOMM-8-8,Stef EUCOMM-8-8,USARaphyHayes
Smurph,USA,Kaela,Helton,F,2,2,107,169,1,0,14.6,EUCOMM-8-8,Smurph EUCOMM-8-8,USAKaelaHelton
Francis,USA,Henry,Ing,M,4,3,110,386,0,1,15.0,EUCOMM-8-8,Francis EUCOMM-8-8,USAHenryIng
Liam,USA,Michael,Ing,M,5,3,256,202,5,3,30.8,EUCOMM-8-8,Liam EUCOMM-8-8,USAMichaelIng
Benj,USA,Chris,Kocher,M,1,3,316,94,1,0,19.5,EUCOMM-8-8,Benj EUCOMM-8-8,USAChrisKocher
Hannah,USA,Grant,Lindsley,M,2,6,283,206,0,0,20.7,EUCOMM-8-8,Hannah EUCOMM-8-8,USAGrantLindsley
Benj,USA,Anna,Thompson,F,2,5,225,254,2,1,23.9,EUCOMM-8-8,Benj EUCOMM-8-8,USAAnnaThompson
Francis,USA,Claire,Trop,F,7,0,38,252,1,1,14.2,EUCOMM-8-8,Francis EUCOMM-8-8,USAClaireTrop
Keith,AUS,Rob,Andrews,M,3,4,266,337,3,3,24.8,GINET-4-12,Keith GINET-4-12,AUSRobAndrews
,AUS,James,Bray,M,0,0,18,20,0,0,0.9,GINET-4-12,,AUSJamesBray
,AUS,Olivia,Carr,F,3,0,0,58,0,1,1.2,GINET-4-12,,AUSOliviaCarr
,AUS,Bill,Foreman,M,2,1,190,113,1,1,12.1,GINET-4-12,,AUSBillForeman
Ben,AUS,Alex,Gan,M,1,0,293,111,0,7,-8.9,GINET-4-12,Ben GINET-4-12,AUSAlexGan
,AUS,Jonathan,Keys,M,2,7,387,196,0,4,12.6,GINET-4-12,,AUSJonathanKeys
,AUS,Alex,Ladomatos,M,0,2,204,103,0,2,4.3,GINET-4-12,,AUSAlexLadomatos
Keith,AUS,Sam,McGuckin,M,4,3,110,301,0,2,10.3,GINET-4-12,Keith GINET-4-12,AUSSamMcGuckin
,AUS,Lyra,Meehan,F,0,1,15,9,0,0,1.7,GINET-4-12,,AUSLyraMeehan
Anthony,AUS,Cat,Phillips,F,1,4,240,379,2,2,21.9,GINET-4-12,Anthony GINET-4-12,AUSCatPhillips
,AUS,Angela,Pidgeon,F,3,1,19,91,1,0,10.4,GINET-4-12,,AUSAngelaPidgeon
,AUS,Alexandra,Prentice,F,1,0,324,137,0,3,4.5,GINET-4-12,,AUSAlexandraPrentice
Keith,AUS,Kya,Wiya,F,4,2,41,250,0,2,6.2,GINET-4-12,Keith GINET-4-12,AUSKyaWiya
,AUS,Georgia,Egan-Griffiths,F,1,0,32,36,0,0,2.7,GINET-4-12,,AUSGeorgiaEgan-Griffiths
Chris,CAN,Malik,Auger-Semmar,M,4,3,174,257,0,0,17.4,GINET-4-12,Chris GINET-4-12,CANMalikAuger-Semmar
Keith,CAN,Anouchka,Beaudry,F,3,2,51,172,0,1,6.9,GINET-4-12,Keith GINET-4-12,CANAnouchkaBeaudry
,CAN,Malcolm,Bryson,M,0,2,95,98,2,1,11.9,GINET-4-12,,CANMalcolmBryson
,CAN,Florence,Dionne,F,1,0,0,33,1,0,5.7,GINET-4-12,,CANFlorenceDionne
Chris,CAN,Brittney,Dos Santos,F,2,4,282,192,0,3,9.3,GINET-4-12,Chris GINET-4-12,CANBrittneyDos Santos
Keith,CAN,Thomas,Edmonds,M,4,3,451,238,1,1,26.5,GINET-4-12,Keith GINET-4-12,CANThomasEdmonds
Anthony,CAN,Marty,Gallant,M,3,1,154,217,0,0,13.0,GINET-4-12,Anthony GINET-4-12,CANMartyGallant
,CAN,Sarah,Jacobsohn,F,0,3,86,163,0,4,-3.1,GINET-4-12,,CANSarahJacobsohn
,CAN,Lauren,Kimura,F,0,2,188,41,2,0,16.5,GINET-4-12,,CANLaurenKimura
Anthony,CAN,Mika,Kurahashi,F,0,1,95,99,1,1,6.9,GINET-4-12,Anthony GINET-4-12,CANMikaKurahashi
,CAN,Mark,Lloyd,M,2,0,57,119,1,1,7.1,GINET-4-12,,CANMarkLloyd
,CAN,Gagan,Chatha,M,1,3,305,10,2,2,15.4,GINET-4-12,,CANGaganChatha
Anthony,CAN,Quinn,Snider,M,5,1,52,331,2,2,16.2,GINET-4-12,Anthony GINET-4-12,CANQuinnSnider
Chris,CAN,Molly,Wedge,F,1,0,3,24,1,1,2.6,GINET-4-12,Chris GINET-4-12,CANMollyWedge
Ben,CHN,Xiaoyun,Gao,F,2,0,31,227,0,4,-4.6,GINET-4-12,Ben GINET-4-12,CHNXiaoyunGao
,CHN,Jiarong,Guo,M,4,2,132,375,3,1,26.5,GINET-4-12,,CHNJiarongGuo
,CHN,Xin,Li,M,3,2,314,193,0,3,9.4,GINET-4-12,,CHNXinLi
,CHN,Xue,Li,F,1,0,86,27,0,3,-4.9,GINET-4-12,,CHNXueLi
,CHN,Bo,Liu,M,3,1,287,119,0,4,3.1,GINET-4-12,,CHNBoLiu
Anthony,CHN,Quan,Mao,M,0,6,498,69,2,7,9.5,GINET-4-12,Anthony GINET-4-12,CHNQuanMao
,CHN,Xuanxuan,Wang,F,1,1,13,100,1,3,-0.6,GINET-4-12,,CHNXuanxuanWang
,CHN,Simei,Wei,F,0,3,175,144,0,4,-0.8,GINET-4-12,,CHNSimeiWei
Chris,CHN,Yingyi,Xu,M,4,2,24,301,0,3,3.7,GINET-4-12,Chris GINET-4-12,CHNYingyiXu
,CHN,Yu,Zeng,M,1,3,268,115,1,1,15.4,GINET-4-12,,CHNYuZeng
,CHN,Lu,Zhang,F,0,1,2,157,0,1,1.2,GINET-4-12,,CHNLuZhang
Keith,CHN,Ying,Zhang,F,0,0,68,-65,0,0,0.8,GINET-4-12,Keith GINET-4-12,CHNYingZhang
,CHN,Anqi,Zhou,F,2,0,-30,118,0,1,0.5,GINET-4-12,,CHNAnqiZhou
,CHN,Zhaoje,Zhou,M,1,1,71,62,0,1,2.4,GINET-4-12,,CHNZhaojeZhou
,COL,Ivan,Alba,M,1,3,185,117,1,2,9.9,GINET-4-12,,COLIvanAlba
,COL,Jorge,Bulla,M,0,5,222,81,1,2,11.3,GINET-4-12,,COLJorgeBulla
,COL,Manuel,Candamil,M,2,1,90,65,0,0,7.0,GINET-4-12,,COLManuelCandamil
,COL,Jonathan,Cantor,M,0,1,26,-29,0,0,1.2,GINET-4-12,,COLJonathanCantor
Ben,COL,Manuela,Cárdenas,F,1,2,222,87,0,1,8.4,GINET-4-12,Ben GINET-4-12,COLManuelaCárdenas
Anthony,COL,Valeria,Cárdenas,F,3,0,213,258,0,3,5.7,GINET-4-12,Anthony GINET-4-12,COLValeriaCárdenas
Keith,COL,Yina,Cartagena,F,1,3,218,219,0,1,12.0,GINET-4-12,Keith GINET-4-12,COLYinaCartagena
,COL,Juan Manuel,Cortes Amariles,M,0,0,15,67,0,0,1.8,GINET-4-12,,COLJuan ManuelCortes Amariles
,COL,Maria,Forero,F,1,1,15,62,0,0,3.7,GINET-4-12,,COLMariaForero
,COL,Ximena,Montaña,F,3,0,-1,106,1,0,9.1,GINET-4-12,,COLXimenaMontaña
,COL,Laura,Ospina,F,1,1,92,113,0,0,7.1,GINET-4-12,,COLLauraOspina
,COL,Andrés,Ramirez,M,5,2,52,154,1,0,15.7,GINET-4-12,,COLAndrésRamirez
Keith,COL,Simón,Ramírez,M,0,0,19,17,0,1,-2.1,GINET-4-12,Keith GINET-4-12,COLSimónRamírez
,COL,Maria Paula,Santos,F,2,1,56,107,0,0,6.8,GINET-4-12,,COLMaria PaulaSantos
,FRA,Gaël,Ancelin,M,1,0,232,-21,0,5,-7.4,GINET-4-12,,FRAGaëlAncelin
,FRA,Paul,Benvegnen,M,2,8,569,172,2,2,32.6,GINET-4-12,,FRAPaulBenvegnen
Chris,FRA,Camille,Blanc,F,0,0,14,52,2,1,6.4,GINET-4-12,Chris GINET-4-12,FRACamilleBlanc
Anthony,FRA,Elliot,Bonnet,M,5,2,151,439,1,2,18.4,GINET-4-12,Anthony GINET-4-12,FRAElliotBonnet
,FRA,Simone,Raulet,F,2,0,38,116,0,2,-0.5,GINET-4-12,,FRASimoneRaulet
,FRA,Lison,Bornot,F,3,1,45,278,1,2,9.0,GINET-4-12,,FRALisonBornot
,FRA,Zoë,Forget,F,2,0,45,111,0,0,5.6,GINET-4-12,,FRAZoëForget
,FRA,Tifaine,Latchy,F,0,2,105,54,1,0,10.3,GINET-4-12,,FRATifaineLatchy
,FRA,Chloé,Ollivier,F,2,0,-18,101,0,0,3.5,GINET-4-12,,FRAChloéOllivier
,FRA,Sacha,Poitte-Sokolsky,M,4,0,254,77,0,3,4.2,GINET-4-12,,FRASachaPoitte-Sokolsky
,FRA,Sullivan,Roblet,M,2,2,87,70,1,3,3.0,GINET-4-12,,FRASullivanRoblet
Chris,FRA,Simon,Ruelle,M,1,2,68,118,0,2,1.5,GINET-4-12,Chris GINET-4-12,FRASimonRuelle
Ben,FRA,Léo,Stanguennec,M,0,5,248,215,2,1,21.8,GINET-4-12,Ben GINET-4-12,FRALéoStanguennec
,FRA,Chloé,Vallet,F,0,2,77,125,0,2,0.8,GINET-4-12,,FRAChloéVallet
,GER,Jakob,Dieckmann,M,6,2,156,367,0,3,11.0,GINET-4-12,,GERJakobDieckmann
,GER,Joana,Erdmann,F,1,0,-27,130,1,2,0.8,GINET-4-12,,GERJoanaErdmann
Ben,GER,Hartley,Greenwald,M,1,2,124,90,1,2,6.6,GINET-4-12,Ben GINET-4-12,GERHartleyGreenwald
,GER,Paul,Herkens,M,3,2,144,159,6,1,33.6,GINET-4-12,,GERPaulHerkens
,GER,David,Metzger,M,4,4,387,104,2,3,20.8,GINET-4-12,,GERDavidMetzger
Chris,GER,Ava,Mueller,F,3,1,169,25,1,1,10.6,GINET-4-12,Chris GINET-4-12,GERAvaMueller
Keith,GER,Nico,Müller,M,1,7,565,106,0,1,24.2,GINET-4-12,Keith GINET-4-12,GERNicoMüller
Ben,GER,Nici,Prien,F,2,2,27,239,1,2,7.6,GINET-4-12,Ben GINET-4-12,GERNiciPrien
,GER,Charlotte,Schall,F,2,2,229,165,1,1,15.2,GINET-4-12,,GERCharlotteSchall
Ben,GER,Conrad,Schloer,M,4,11,332,447,3,1,43.0,GINET-4-12,Ben GINET-4-12,GERConradSchloer
,GER,Lisa,Schütz,F,0,2,150,88,2,2,10.3,GINET-4-12,,GERLisaSchütz
,GER,Nis-Julius,Sontag,M,1,2,164,42,0,1,5.8,GINET-4-12,,GERNis-JuliusSontag
Chris,GER,Levke,Walczak,F,10,1,86,489,1,7,6.4,GINET-4-12,Chris GINET-4-12,GERLevkeWalczak
,GER,Verena,Woloson,F,0,0,-11,69,0,1,-1.9,GINET-4-12,,GERVerenaWoloson
Ben,JPN,Taiyo,Arakawa,M,9,0,-37,367,1,0,19.2,GINET-4-12,Ben GINET-4-12,JPNTaiyoArakawa
Keith,JPN,Kanari,Imanishi,F,1,0,110,110,1,1,7.5,GINET-4-12,Keith GINET-4-12,JPNKanariImanishi
Ben,JPN,Yuko,Kashino,F,2,6,239,213,0,0,19.5,GINET-4-12,Ben GINET-4-12,JPNYukoKashino
,JPN,Masashi,Kurono,M,5,5,201,592,1,4,19.9,GINET-4-12,,JPNMasashiKurono
,JPN,Shumpei,Makiyama,M,4,4,216,225,2,2,21.0,GINET-4-12,,JPNShumpeiMakiyama
Anthony,JPN,Masahiro,Matsuno,M,0,2,311,89,0,4,1.2,GINET-4-12,Anthony GINET-4-12,JPNMasahiroMatsuno
,JPN,Hikari,Miyachi,F,0,0,0,0,0,0,0.0,GINET-4-12,,JPNHikariMiyachi
,JPN,Akifumi,Muraoka,M,1,1,167,48,1,0,12.1,GINET-4-12,,JPNAkifumiMuraoka
Chris,JPN,Sho,Okajima,M,3,4,162,198,0,4,3.9,GINET-4-12,Chris GINET-4-12,JPNShoOkajima
,JPN,Riyu,Shimizu,F,0,3,418,118,0,3,9.1,GINET-4-12,,JPNRiyuShimizu
,JPN,Ryota,Suzuki,M,1,2,515,-33,0,3,8.9,GINET-4-12,,JPNRyotaSuzuki
,JPN,Miwa,Tajima,F,1,0,6,20,0,0,1.6,GINET-4-12,,JPNMiwaTajima
,JPN,Mayuka,Takada,F,3,3,240,436,0,3,13.0,GINET-4-12,,JPNMayukaTakada
,JPN,Sayako,Nemoto,F,0,0,-31,45,1,0,4.0,GINET-4-12,,JPNSayakoNemoto
Chris,USA,Marques,Brownlee,M,3,2,359,43,1,4,8.8,GINET-4-12,Chris GINET-4-12,USAMarquesBrownlee
Anthony,USA,Claire,Chastain,F,0,1,89,90,1,3,0.5,GINET-4-12,Anthony GINET-4-12,USAClaireChastain
Anthony,USA,Dawn,Culton,F,3,1,73,151,0,0,9.2,GINET-4-12,Anthony GINET-4-12,USADawnCulton
,USA,Carolyn,Finney,F,2,3,253,241,1,0,21.5,GINET-4-12,,USACarolynFinney
Keith,USA,Dylan,Freechild,M,1,5,475,-3,2,3,19.3,GINET-4-12,Keith GINET-4-12,USADylanFreechild
Ben,USA,Kami,Groom,F,3,2,22,210,0,0,9.9,GINET-4-12,Ben GINET-4-12,USAKamiGroom
Chris,USA,Raphy,Hayes,M,4,3,129,450,2,5,12.9,GINET-4-12,Chris GINET-4-12,USARaphyHayes
Chris,USA,Kaela,Helton,F,2,2,107,169,1,0,14.6,GINET-4-12,Chris GINET-4-12,USAKaelaHelton
Ben,USA,Henry,Ing,M,4,3,110,386,0,1,15.0,GINET-4-12,Ben GINET-4-12,USAHenryIng
Anthony,USA,Michael,Ing,M,5,3,256,202,5,3,30.8,GINET-4-12,Anthony GINET-4-12,USAMichaelIng
Anthony,USA,Chris,Kocher,M,1,3,316,94,1,0,19.5,GINET-4-12,Anthony GINET-4-12,USAChrisKocher
,USA,Grant,Lindsley,M,2,6,283,206,0,0,20.7,GINET-4-12,,USAGrantLindsley
Ben,USA,Anna,Thompson,F,2,5,225,254,2,1,23.9,GINET-4-12,Ben GINET-4-12,USAAnnaThompson
Keith,USA,Claire,Trop,F,7,0,38,252,1,1,14.2,GINET-4-12,Keith GINET-4-12,USAClaireTrop
Keith,AUS,Rob,Andrews,M,3,4,266,337,3,3,24.8,DEEP-4-10,Keith DEEP-4-10,AUSRobAndrews
,AUS,James,Bray,M,0,0,18,20,0,0,0.9,DEEP-4-10,,AUSJamesBray
,AUS,Olivia,Carr,F,3,0,0,58,0,1,1.2,DEEP-4-10,,AUSOliviaCarr
,AUS,Bill,Foreman,M,2,1,190,113,1,1,12.1,DEEP-4-10,,AUSBillForeman
Charlie,AUS,Alex,Gan,M,1,0,293,111,0,7,-8.9,DEEP-4-10,Charlie DEEP-4-10,AUSAlexGan
,AUS,Jonathan,Keys,M,2,7,387,196,0,4,12.6,DEEP-4-10,,AUSJonathanKeys
,AUS,Alex,Ladomatos,M,0,2,204,103,0,2,4.3,DEEP-4-10,,AUSAlexLadomatos
Keith,AUS,Sam,McGuckin,M,4,3,110,301,0,2,10.3,DEEP-4-10,Keith DEEP-4-10,AUSSamMcGuckin
,AUS,Lyra,Meehan,F,0,1,15,9,0,0,1.7,DEEP-4-10,,AUSLyraMeehan
